incorrect_sentence,correct_sentence
අපි ගියේය,අපි ගියෙමු
අපි ගියෝය,අපි ගියෙමු
අපි යැවේ,අපි ගියෙමු
අපි යැවෙමි,අපි ගියෙමු
අපි යැවෙහි,අපි යැවෙමු
අපි යැවෙහු,අපි යැවෙමු
අපි යැවෙයි,අපි යැවෙමු
අපි යැවෙති,අපි යැවෙමු
අපි යැවවෙයි,අපි යැවෙමු
අපි යැවවෙති,අපි යැවෙමු
අපි යැවවේ,අපි යැවෙමු
නුබ යති,අපි යැවෙමු
නුබ යත්වා,අපි යැවෙමු
නුබ යනවාලා,නුබ යනවා
නුබ යන්නීය,නුබ යන්න
නුබ යන්නෙමි,නුබ යන්න
නුබ යන්නෙමිවා,නුබ යන්න
නුබ යන්නෙමු,නුබ යන්න
නුබ යන්නෙමුවා,නුබ යන්න
නුබ යන්නේය,නුබ යන්නෙහි
නුබ යන්නෝය,නුබ යන්නෙහි
නුබ යමි,නුබ යන්නෙහි
නුබ යමිවා,නුබ යන්නෙහි
නුබ යමු,නුබ යන්නෙහි
නුබ යමුවා,නුබ යන්නෙහි
නුබ යයි,නුබ යන්නෙහි
නුබ යවති,නුබ යව
නුබ යවන්නීය,නුබ යව
නුබ යවන්නෙමි,නුබ යව
නුබ යවන්නෙමු,නුබ යව
නුබ යවන්නෙහු,නුබ යවන්නෙහි
නුබ යවන්නේය,නුබ යවන්නෙහි
නුබ යවන්නෝය,නුබ යවන්නෙහි
නුබ යවමි,නුබ යවන්නෙහි
නුබ යවමු,නුබ යවන්නෙහි
නුබ යවයි,නුබ යවන්නෙහි
නුබ යවහු,නුබ යවහි
නුබ යවු,නුබ යවහි
නුබ යහු,නුබ යහි
නුබ යහුවා,නුබ යහි
නුබ යනලදී,නුබ යහි
නුබ ගියෙමි,නුබ යහි
නුබ ගියෙමු,නුබ යහි
නුබ ගියෙහු,නුබ ගියෙහි
නුබ ගියාය,නුබ ගියෙහි
නුබ ගියේය,නුබ ගියෙහි
නුබ ගියෝය,නුබ ගියෙහි
නුබ යැවේ,නුබ ගියෙහි
නුබ යැවෙමි,නුබ ගියෙහි
නුබ යැවෙමු,නුබ ගියෙහි
නුබ යැවෙහි,නුබ ගියෙහි
නුබ යැවෙහු,නුබ ගියෙහි
නුබ යැවෙයි,නුබ ගියෙහි
නුබ යැවෙති,නුබ ගියෙහි
නුබ යැවවෙයි,නුබ ගියෙහි
නුබ යැවවෙති,නුබ ගියෙහි
නුබ යැවවේ,නුබ ගියෙහි
නුබලා  යති,නුබ ගියෙහි
නුබලා  යත්වා,නුබ ගියෙහි
නුබලා  යනවා,නුබ ගියෙහි
නුබලා  යනු,නුබලා  යනවාලා
නුබලා  යන්න,නුබලා  යනවාලා
නුබලා  යන්නීය,නුබලා  යනවාලා
නුබලා  යන්නෙමි,නුබලා  යනවාලා
නුබලා  යන්නෙමිවා,නුබලා  යනවාලා
නුබලා  යන්නෙමු,නුබලා  යනවාලා
නුබලා  යන්නෙමුවා,නුබලා  යනවාලා
නුබලා  යන්නෙහි,නුබලා  යනවාලා
නුබලා  යන්නෙහිවා,නුබලා  යනවාලා
නුබලා  යන්නේය,නුබලා  යනවාලා
නුබලා  යන්නෝය,නුබලා  යනවාලා
නුබලා  යමි,නුබලා  යනවාලා
නුබලා  යමිවා,නුබලා  යනවාලා
නුබලා  යමු,නුබලා  යනවාලා
නුබලා  යමුවා,නුබලා  යනවාලා
නුබලා  යයි,නුබලා  යනවාලා
නුබලා  යව,නුබලා  යනවාලා
නුබලා  යවති,නුබලා  යනවාලා
නුබලා  යවන්නීය,නුබලා  යනවාලා
නුබලා  යවන්නෙමි,නුබලා  යනවාලා
නුබලා  යවන්නෙමු,නුබලා  යනවාලා
නුබලා  යවන්නෙහි,නුබලා  යනවාලා
නුබලා  යවන්නේය,නුබලා  යවන්නෙහු
නුබලා  යවන්නෝය,නුබලා  යවන්නෙහු
නුබලා  යවමි,නුබලා  යවන්නෙහු
නුබලා  යවමු,නුබලා  යවන්නෙහු
නුබලා  යවයි,නුබලා  යවන්නෙහු
නුබලා  යවහි,නුබලා  යවන්නෙහු
නුබලා  යහි,නුබලා  යවු
නුබලා  යහිවා,නුබලා  යවු
නුබලා  යනලදී,නුබලා  යහුවා
නුබලා  ගියෙමි,නුබලා  යහුවා
නුබලා  ගියෙමු,නුබලා  යහුවා
නුබලා  ගියෙහි,නුබලා  යහුවා
නුබලා  ගියාය,නුබලා  ගියෙහු
නුබලා  ගියේය,නුබලා  ගියෙහු
නුබලා  ගියෝය,නුබලා  ගියෙහු
නුබලා  යැවේ,නුබලා  ගියෙහු
නුබලා  යැවෙමි,නුබලා  ගියෙහු
නුබලා  යැවෙමු,නුබලා  ගියෙහු
නුබලා  යැවෙයි,නුබලා  යැවෙහු
නුබලා  යැවෙති,නුබලා  යැවෙහු
නුබලා  යැවවෙයි,නුබලා  යැවෙහු
නුබලා  යැවවෙති,නුබලා  යැවෙහු
නුබලා  යැවවේ,නුබලා  යැවෙහු
ළමයා  යති,නුබලා  යැවෙහු
ළමයා  යනවා,ළමයා  යත්වා
ළමයා  යනවාලා,ළමයා  යත්වා
ළමයා  යනු,ළමයා  යත්වා
ළමයා  යන්න,ළමයා  යත්වා
ළමයා  යන්නෙමි,ළමයා  යන්නීය
ළමයා  යන්නෙමිවා,ළමයා  යන්නීය
ළමයා  යන්නෙමු,ළමයා  යන්නීය
ළමයා  යන්නෙමුවා,ළමයා  යන්නීය
ළමයා  යන්නෙහි,ළමයා  යන්නීය
ළමයා  යන්නෙහිවා,ළමයා  යන්නීය
ළමයා  යන්නෝය,ළමයා  යන්නේය
ළමයා  යමි,ළමයා  යන්නේය
ළමයා  යමිවා,ළමයා  යන්නේය
ළමයා  යමු,ළමයා  යන්නේය
ළමයා  යමුවා,ළමයා  යන්නේය
ළමයා  යව,ළමයා  යයි
ළමයා  යවති,ළමයා  යයි
ළමයා  යවන්නෙමි,ළමයා  යවන්නීය
ළමයා  යවන්නෙමු,ළමයා  යවන්නීය
ළමයා  යවන්නෙහි,ළමයා  යවන්නීය
ළමයා  යවන්නෙහු,ළමයා  යවන්නීය
ළමයා  යවන්නෝය,ළමයා  යවන්නේය
ළමයා  යවමි,ළමයා  යවන්නේය
ළමයා  යවමු,ළමයා  යවන්නේය
ළමයා  යවහි,ළමයා  යවයි
ළමයා  යවහු,ළමයා  යවයි
ළමයා  යවු,ළමයා  යවයි
ළමයා  යහි,ළමයා  යවයි
ළමයා  යහිවා,ළමයා  යවයි
ළමයා  යහු,ළමයා  යවයි
ළමයා  යහුවා,ළමයා  යවයි
ළමයා  යනලදී,ළමයා  යවයි
ළමයා  ගියෙමි,ළමයා  යවයි
ළමයා  ගියෙමු,ළමයා  යවයි
ළමයා  ගියෙහි,ළමයා  යවයි
ළමයා  ගියෙහු,ළමයා  යවයි
ළමයා  ගියෝය,ළමයා  ගියේය
ළමයා  යැවෙමි,ළමයා  යැවේ
ළමයා  යැවෙමු,ළමයා  යැවේ
ළමයා  යැවෙහි,ළමයා  යැවේ
ළමයා  යැවෙහු,ළමයා  යැවේ
ළමයා  යැවෙති,ළමයා  යැවෙයි
ළමයා  යැවවෙති,ළමයා  යැවවෙයි
ළමයි යත්වා,ළමයි යති
ළමයි යනවා,ළමයි යති
ළමයි යනවාලා,ළමයි යති
ළමයි යනු,ළමයි යති
ළමයි යන්න,ළමයි යති
ළමයි යන්නීය,ළමයි යති
ළමයි යන්නෙමි,ළමයි යති
ළමයි යන්නෙමිවා,ළමයි යති
ළමයි යන්නෙමු,ළමයි යති
ළමයි යන්නෙමුවා,ළමයි යති
ළමයි යන්නෙහි,ළමයි යති
ළමයි යන්නෙහිවා,ළමයි යති
ළමයි යන්නේය,ළමයි යති
ළමයි යමි,ළමයි යන්නෝය
ළමයි යමිවා,ළමයි යන්නෝය
ළමයි යමු,ළමයි යන්නෝය
ළමයි යමුවා,ළමයි යන්නෝය
ළමයි යයි,ළමයි යන්නෝය
ළමයි යව,ළමයි යන්නෝය
ළමයි යවන්නීය,ළමයි යවති
ළමයි යවන්නෙමි,ළමයි යවති
ළමයි යවන්නෙමු,ළමයි යවති
ළමයි යවන්නෙහි,ළමයි යවති
ළමයි යවන්නෙහු,ළමයි යවති
ළමයි යවන්නේය,ළමයි යවති
ළමයි යවමි,ළමයි යවන්නෝය
ළමයි යවමු,ළමයි යවන්නෝය
ළමයි යවයි,ළමයි යවන්නෝය
ළමයි යවහි,ළමයි යවන්නෝය
ළමයි යවහු,ළමයි යවන්නෝය
ළමයි යවු,ළමයි යවන්නෝය
ළමයි යහි,ළමයි යවන්නෝය
ළමයි යහිවා,ළමයි යවන්නෝය
ළමයි යහු,ළමයි යවන්නෝය
ළමයි යහුවා,ළමයි යවන්නෝය
ළමයි යනලදී,ළමයි යවන්නෝය
ළමයි ගියෙමි,ළමයි යවන්නෝය
ළමයි ගියෙමු,ළමයි යවන්නෝය
ළමයි ගියෙහි,ළමයි යවන්නෝය
ළමයි ගියෙහු,ළමයි යවන්නෝය
ළමයි ගියාය,ළමයි යවන්නෝය
ළමයි ගියේය,ළමයි යවන්නෝය
ළමයි යැවේ,ළමයි ගියෝය
ළමයි යැවෙමි,ළමයි ගියෝය
ළමයි යැවෙමු,ළමයි ගියෝය
ළමයි යැවෙහි,ළමයි ගියෝය
ළමයි යැවෙහු,ළමයි ගියෝය
ළමයි යැවෙයි,ළමයි ගියෝය
ළමයි යැවවෙයි,ළමයි යැවෙති
ළමයි යැවවේ,ළමයි යැවවෙති
වාහනය යති,ළමයි යැවවෙති
වාහනය යනවා,වාහනය යත්වා
වාහනය යනවාලා,වාහනය යත්වා
වාහනය යනු,වාහනය යත්වා
වාහනය යන්න,වාහනය යත්වා
වාහනය යන්නෙමි,වාහනය යන්නීය
වාහනය යන්නෙමිවා,වාහනය යන්නීය
වාහනය යන්නෙමු,වාහනය යන්නීය
වාහනය යන්නෙමුවා,වාහනය යන්නීය
වාහනය යන්නෙහි,වාහනය යන්නීය
වාහනය යන්නෙහිවා,වාහනය යන්නීය
වාහනය යන්නෝය,වාහනය යන්නේය
වාහනය යමි,වාහනය යන්නේය
වාහනය යමිවා,වාහනය යන්නේය
වාහනය යමු,වාහනය යන්නේය
වාහනය යමුවා,වාහනය යන්නේය
වාහනය යව,වාහනය යයි
වාහනය යවති,වාහනය යයි
වාහනය යවන්නෙමි,වාහනය යවන්නීය
වාහනය යවන්නෙමු,වාහනය යවන්නීය
වාහනය යවන්නෙහි,වාහනය යවන්නීය
වාහනය යවන්නෙහු,වාහනය යවන්නීය
වාහනය යවන්නෝය,වාහනය යවන්නේය
වාහනය යවමි,වාහනය යවන්නේය
වාහනය යවමු,වාහනය යවන්නේය
වාහනය යවහි,වාහනය යවයි
වාහනය යවහු,වාහනය යවයි
වාහනය යවු,වාහනය යවයි
වාහනය යහි,වාහනය යවයි
වාහනය යහිවා,වාහනය යවයි
වාහනය යහු,වාහනය යවයි
වාහනය යහුවා,වාහනය යවයි
වාහනය යනලදී,වාහනය යවයි
වාහනය ගියෙමි,වාහනය යවයි
වාහනය ගියෙමු,වාහනය යවයි
වාහනය ගියෙහි,වාහනය යවයි
වාහනය ගියෙහු,වාහනය යවයි
වාහනය ගියෝය,වාහනය ගියේය
වාහනය යැවෙමි,වාහනය යැවේ
වාහනය යැවෙමු,වාහනය යැවේ
වාහනය යැවෙහි,වාහනය යැවේ
වාහනය යැවෙහු,වාහනය යැවේ
වාහනය යැවෙති,වාහනය යැවෙයි
වාහනය යැවවෙති,වාහනය යැවවෙයි
වාහන යති,වාහනය යැවවේ
වාහන යනවා,වාහන යත්වා
වාහන යනවාලා,වාහන යත්වා
වාහන යනු,වාහන යත්වා
වාහන යන්න,වාහන යත්වා
වාහන යන්නෙමි,වාහන යන්නීය
වාහන යන්නෙමිවා,වාහන යන්නීය
වාහන යන්නෙමු,වාහන යන්නීය
වාහන යන්නෙමුවා,වාහන යන්නීය
වාහන යන්නෙහි,වාහන යන්නීය
වාහන යන්නෙහිවා,වාහන යන්නීය
වාහන යන්නෝය,වාහන යන්නේය
වාහන යමි,වාහන යන්නේය
වාහන යමිවා,වාහන යන්නේය
වාහන යමු,වාහන යන්නේය
වාහන යමුවා,වාහන යන්නේය
වාහන යව,වාහන යයි
වාහන යවති,වාහන යයි
වාහන යවන්නෙමි,වාහන යවන්නීය
වාහන යවන්නෙමු,වාහන යවන්නීය
වාහන යවන්නෙහි,වාහන යවන්නීය
වාහන යවන්නෙහු,වාහන යවන්නීය
වාහන යවන්නෝය,වාහන යවන්නේය
වාහන යවමි,වාහන යවන්නේය
වාහන යවමු,වාහන යවන්නේය
වාහන යවහි,වාහන යවයි
වාහන යවහු,වාහන යවයි
වාහන යවු,වාහන යවයි
වාහන යහි,වාහන යවයි
වාහන යහිවා,වාහන යවයි
වාහන යහු,වාහන යවයි
වාහන යහුවා,වාහන යවයි
වාහන යනලදී,වාහන යවයි
වාහන ගියෙමි,වාහන යවයි
වාහන ගියෙමු,වාහන යවයි
වාහන ගියෙහි,වාහන යවයි
වාහන ගියෙහු,වාහන යවයි
වාහන ගියෝය,වාහන ගියේය
වාහන යැවෙමි,වාහන යැවේ
වාහන යැවෙමු,වාහන යැවේ
වාහන යැවෙහි,වාහන යැවේ
වාහන යැවෙහු,වාහන යැවේ
වාහන යැවෙති,වාහන යැවෙයි
වාහන යැවවෙති,වාහන යැවවෙයි
මම ගෙදර යති,වාහන යැවවේ
මම ගෙදර යත්වා,වාහන යැවවේ
මම ගෙදර යනවා,වාහන යැවවේ
මම ගෙදර යනවාලා,වාහන යැවවේ
මම ගෙදර යනු,වාහන යැවවේ
මම ගෙදර යන්න,වාහන යැවවේ
මම ගෙදර යන්නීය,වාහන යැවවේ
මම ගෙදර යන්නෙමු,මම ගෙදර යන්නෙමිවා
මම ගෙදර යන්නෙමුවා,මම ගෙදර යන්නෙමිවා
මම ගෙදර යන්නෙහි,මම ගෙදර යන්නෙමිවා
මම ගෙදර යන්නෙහිවා,මම ගෙදර යන්නෙමිවා
මම ගෙදර යන්නේය,මම ගෙදර යන්නෙමිවා
මම ගෙදර යන්නෝය,මම ගෙදර යන්නෙමිවා
මම ගෙදර යමු,මම ගෙදර යමිවා
මම ගෙදර යමුවා,මම ගෙදර යමිවා
මම ගෙදර යයි,මම ගෙදර යමිවා
මම ගෙදර යව,මම ගෙදර යමිවා
මම ගෙදර යවති,මම ගෙදර යමිවා
මම ගෙදර යවන්නීය,මම ගෙදර යමිවා
මම ගෙදර යවන්නෙමු,මම ගෙදර යවන්නෙමි
මම ගෙදර යවන්නෙහි,මම ගෙදර යවන්නෙමි
මම ගෙදර යවන්නෙහු,මම ගෙදර යවන්නෙමි
මම ගෙදර යවන්නේය,මම ගෙදර යවන්නෙමි
මම ගෙදර යවන්නෝය,මම ගෙදර යවන්නෙමි
මම ගෙදර යවමු,මම ගෙදර යවමි
මම ගෙදර යවයි,මම ගෙදර යවමි
මම ගෙදර යවහි,මම ගෙදර යවමි
මම ගෙදර යවහු,මම ගෙදර යවමි
මම ගෙදර යවු,මම ගෙදර යවමි
මම ගෙදර යහි,මම ගෙදර යවමි
මම ගෙදර යහිවා,මම ගෙදර යවමි
මම ගෙදර යහු,මම ගෙදර යවමි
මම ගෙදර යහුවා,මම ගෙදර යවමි
මම ගෙදර යනලදී,මම ගෙදර යවමි
මම ගෙදර ගියෙමු,මම ගෙදර ගියෙමි
මම ගෙදර ගියෙහි,මම ගෙදර ගියෙමි
මම ගෙදර ගියෙහු,මම ගෙදර ගියෙමි
මම ගෙදර ගියාය,මම ගෙදර ගියෙමි
මම ගෙදර ගියේය,මම ගෙදර ගියෙමි
මම ගෙදර ගියෝය,මම ගෙදර ගියෙමි
මම ගෙදර යැවේ,මම ගෙදර ගියෙමි
මම ගෙදර යැවෙමු,මම ගෙදර යැවෙමි
මම ගෙදර යැවෙහි,මම ගෙදර යැවෙමි
මම ගෙදර යැවෙහු,මම ගෙදර යැවෙමි
මම ගෙදර යැවෙයි,මම ගෙදර යැවෙමි
මම ගෙදර යැවෙති,මම ගෙදර යැවෙමි
මම ගෙදර යැවවෙයි,මම ගෙදර යැවෙමි
මම ගෙදර යැවවෙති,මම ගෙදර යැවෙමි
මම ගෙදර යැවවේ,මම ගෙදර යැවෙමි
අපි ගෙදර යති,මම ගෙදර යැවෙමි
අපි ගෙදර යත්වා,මම ගෙදර යැවෙමි
අපි ගෙදර යනවා,මම ගෙදර යැවෙමි
අපි ගෙදර යනවාලා,මම ගෙදර යැවෙමි
අපි ගෙදර යනු,මම ගෙදර යැවෙමි
අපි ගෙදර යන්න,මම ගෙදර යැවෙමි
අපි ගෙදර යන්නීය,මම ගෙදර යැවෙමි
අපි ගෙදර යන්නෙමි,මම ගෙදර යැවෙමි
අපි ගෙදර යන්නෙමිවා,මම ගෙදර යැවෙමි
අපි ගෙදර යන්නෙහි,අපි ගෙදර යන්නෙමුවා
අපි ගෙදර යන්නෙහිවා,අපි ගෙදර යන්නෙමුවා
අපි ගෙදර යන්නේය,අපි ගෙදර යන්නෙමුවා
අපි ගෙදර යන්නෝය,අපි ගෙදර යන්නෙමුවා
අපි ගෙදර යමි,අපි ගෙදර යන්නෙමුවා
අපි ගෙදර යමිවා,අපි ගෙදර යන්නෙමුවා
අපි ගෙදර යයි,අපි ගෙදර යමුවා
අපි ගෙදර යව,අපි ගෙදර යමුවා
අපි ගෙදර යවති,අපි ගෙදර යමුවා
අපි ගෙදර යවන්නීය,අපි ගෙදර යමුවා
අපි ගෙදර යවන්නෙමි,අපි ගෙදර යමුවා
අපි ගෙදර යවන්නෙහි,අපි ගෙදර යවන්නෙමු
අපි ගෙදර යවන්නෙහු,අපි ගෙදර යවන්නෙමු
අපි ගෙදර යවන්නේය,අපි ගෙදර යවන්නෙමු
අපි ගෙදර යවන්නෝය,අපි ගෙදර යවන්නෙමු
අපි ගෙදර යවමි,අපි ගෙදර යවන්නෙමු
අපි ගෙදර යවයි,අපි ගෙදර යවමු
අපි ගෙදර යවහි,අපි ගෙදර යවමු
අපි ගෙදර යවහු,අපි ගෙදර යවමු
අපි ගෙදර යවු,අපි ගෙදර යවමු
අපි ගෙදර යහි,අපි ගෙදර යවමු
අපි ගෙදර යහිවා,අපි ගෙදර යවමු
අපි ගෙදර යහු,අපි ගෙදර යවමු
අපි ගෙදර යහුවා,අපි ගෙදර යවමු
අපි ගෙදර යනලදී,අපි ගෙදර යවමු
අපි ගෙදර ගියෙමි,අපි ගෙදර යවමු
අපි ගෙදර ගියෙහි,අපි ගෙදර ගියෙමු
අපි ගෙදර ගියෙහු,අපි ගෙදර ගියෙමු
අපි ගෙදර ගියාය,අපි ගෙදර ගියෙමු
අපි ගෙදර ගියේය,අපි ගෙදර ගියෙමු
අපි ගෙදර ගියෝය,අපි ගෙදර ගියෙමු
අපි ගෙදර යැවේ,අපි ගෙදර ගියෙමු
අපි ගෙදර යැවෙමි,අපි ගෙදර ගියෙමු
අපි ගෙදර යැවෙහි,අපි ගෙදර යැවෙමු
අපි ගෙදර යැවෙහු,අපි ගෙදර යැවෙමු
අපි ගෙදර යැවෙයි,අපි ගෙදර යැවෙමු
අපි ගෙදර යැවෙති,අපි ගෙදර යැවෙමු
අපි ගෙදර යැවවෙයි,අපි ගෙදර යැවෙමු
අපි ගෙදර යැවවෙති,අපි ගෙදර යැවෙමු
අපි ගෙදර යැවවේ,අපි ගෙදර යැවෙමු
නුබ ගෙදර යති,අපි ගෙදර යැවෙමු
නුබ ගෙදර යත්වා,අපි ගෙදර යැවෙමු
නුබ ගෙදර යනවාලා,නුබ ගෙදර යනවා
නුබ ගෙදර යන්නීය,නුබ ගෙදර යන්න
නුබ ගෙදර යන්නෙමි,නුබ ගෙදර යන්න
නුබ ගෙදර යන්නෙමිවා,නුබ ගෙදර යන්න
නුබ ගෙදර යන්නෙමු,නුබ ගෙදර යන්න
නුබ ගෙදර යන්නෙමුවා,නුබ ගෙදර යන්න
නුබ ගෙදර යන්නේය,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යන්නෝය,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යමි,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යමිවා,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යමු,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යමුවා,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යයි,නුබ ගෙදර යන්නෙහිවා
නුබ ගෙදර යවති,නුබ ගෙදර යව
නුබ ගෙදර යවන්නීය,නුබ ගෙදර යව
නුබ ගෙදර යවන්නෙමි,නුබ ගෙදර යව
නුබ ගෙදර යවන්නෙමු,නුබ ගෙදර යව
නුබ ගෙදර යවන්නෙහු,නුබ ගෙදර යවන්නෙහි
නුබ ගෙදර යවන්නේය,නුබ ගෙදර යවන්නෙහි
නුබ ගෙදර යවන්නෝය,නුබ ගෙදර යවන්නෙහි
නුබ ගෙදර යවමි,නුබ ගෙදර යවන්නෙහි
නුබ ගෙදර යවමු,නුබ ගෙදර යවන්නෙහි
නුබ ගෙදර යවයි,නුබ ගෙදර යවන්නෙහි
නුබ ගෙදර යවහු,නුබ ගෙදර යවහි
නුබ ගෙදර යවු,නුබ ගෙදර යවහි
නුබ ගෙදර යහු,නුබ ගෙදර යහිවා
නුබ ගෙදර යහුවා,නුබ ගෙදර යහිවා
නුබ ගෙදර යනලදී,නුබ ගෙදර යහිවා
නුබ ගෙදර ගියෙමි,නුබ ගෙදර යහිවා
නුබ ගෙදර ගියෙමු,නුබ ගෙදර යහිවා
නුබ ගෙදර ගියෙහු,නුබ ගෙදර ගියෙහි
නුබ ගෙදර ගියාය,නුබ ගෙදර ගියෙහි
නුබ ගෙදර ගියේය,නුබ ගෙදර ගියෙහි
නුබ ගෙදර ගියෝය,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවේ,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවෙමි,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවෙමු,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවෙහි,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවෙහු,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවෙයි,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවෙති,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවවෙයි,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවවෙති,නුබ ගෙදර ගියෙහි
නුබ ගෙදර යැවවේ,නුබ ගෙදර ගියෙහි
නුබලා ගෙදර යති,නුබ ගෙදර ගියෙහි
නුබලා ගෙදර යත්වා,නුබ ගෙදර ගියෙහි
නුබලා ගෙදර යනවා,නුබ ගෙදර ගියෙහි
නුබලා ගෙදර යනු,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්න,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නීය,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෙමි,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෙමිවා,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෙමු,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෙමුවා,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෙහි,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෙහිවා,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නේය,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යන්නෝය,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යමි,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යමිවා,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යමු,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යමුවා,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යයි,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යව,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යවති,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යවන්නීය,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යවන්නෙමි,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යවන්නෙමු,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යවන්නෙහි,නුබලා ගෙදර යනවාලා
නුබලා ගෙදර යවන්නේය,නුබලා ගෙදර යවන්නෙහු
නුබලා ගෙදර යවන්නෝය,නුබලා ගෙදර යවන්නෙහු
නුබලා ගෙදර යවමි,නුබලා ගෙදර යවන්නෙහු
නුබලා ගෙදර යවමු,නුබලා ගෙදර යවන්නෙහු
නුබලා ගෙදර යවයි,නුබලා ගෙදර යවන්නෙහු
